OBJECTID,מקום,הערות,תאריך,שעות שהייה,סוג מיקום,x,y
5267,"בית הכנסת ""שיח השדה""', רחוב הצפצפה, מעלה אדומים ",,7/3/2020,08:00-10:00,מיקום חולה,35.30085770000005,31.768107900000075
5304,"מלון רויאל ביץ, רחוב הירקון 19, תל אביב",ארוחת בוקר,7/3/2020,08:00-10:00,מיקום חולה,34.76455910000004,32.07048260000005
5484,בית כנסת החושן במודיעין,,7/3/2020,08:15-10:15,מיקום חולה,34.99476000000004,31.903590000000065
5283,"בית הכנסת שערי השמים, רחוב אמציה ,ירושלים",קומה 2,7/3/2020,08:20-11:00,מיקום חולה,35.214353000000074,31.762181000000055
5463,"בית הכנסת ""קול יהודה"" בקריית יערים",,7/3/2020,08:30-10:30,מיקום חולה,35.09994500000005,31.802774000000056
5513,"בית הכנסת ""היכל ברונה"" ,רחוב זווין בשכונת נווה יעקב","בית הכנסת ""היכל ברונה"" שבתוך מבנה המשותף לבית הכנסת ""חפץ חיים"" ובית הכנסת ""אהבת חסד",7/3/2020,08:30-10:30,מיקום חולה,35.24919776100006,31.84297519200004
5713,"בית הכנסת ""הלפרין"", רחוב סימטת האר"" 3, בני ברק",,7/3/2020,08:30-11:00,מיקום חולה,34.83336639100003,32.08362840500007
5543,בריאותא באר שבע ברחוב יצחק נפחא 25,מתחם One Plaza,7/3/2020,09:00-10:00,מיקום חולה,34.81190790000005,31.24797570000004
5413,"בית הכנסת ""אוהל רבקה"" ברחוב חרל""פ 15",,7/3/2020,09:30-10:30,מיקום חולה,35.212330000000065,31.76956000000007
5252,"בית כנסת חסידים, טלז סטון","שהבת זכור, תפילת שחרית, עזרת גברים",7/3/2020,09:30-10:00,מיקום חולה,35.10448190000005,31.80399310000007
5321,ארוחת בוקר במלון דן פנורמה תל אביב,,7/3/2020,09:30-10:30,מיקום חולה,34.763180000000034,32.06474000000003
5348,"בית הכנסת שבט אחים, שכ' כנען, צפת",,7/3/2020,10:00-12:30,מיקום חולה,35.50362005300008,32.968996866000055
5262,"בית כנסת בית ההחלמה, טלז סטון",,7/3/2020,10:00-11:30,מיקום חולה,35.10304220000006,31.80289860000005
5254,בית כנסת אוהבי ציון מקור חיים ירושלים,,7/3/2020,10:00-10:45,מיקום חולה,35.21192860000008,31.782963000000052
5271,"זכריה מאדר 28, רחובות",בית כנסת בית מנחם צעירים,7/3/2020,10:00-12:00,מיקום חולה,34.81902180000003,31.89010470000005
5383,"מוקד בטר""ם, בני ברק",,7/3/2020,10:00-12:00,מיקום חולה,34.837950000000035,32.09248000000002
5381,"מוקד בטר""ם, בני ברק",,7/3/2020,10:00-12:00,מיקום חולה,34.837950000000035,32.09248000000002
5545,סופר פארם סניף ביג באר שבע,,7/3/2020,10:00-10:30,מיקום חולה,34.81062070000007,31.243453100000067
5519,יישוב יובלים,"תהלוכת פורים עדליידע בישוב יובלים: המתנה ברחבת מבנה התעשייה ביובלים, תהלוכה ממבנה התעשייה למרכז הישוב ומופע פורימון באמפי הקטן",7/3/2020,10:00-12:00,מיקום חולה,35.26929400000006,32.87816300000003
5523,"בית הכנסת ""חברת משניות שיף שול"" רחוב אביעד 10 ירושלים",גם בגינה הציבורית הסמוכה לו,7/3/2020,10:00-10:30,מיקום חולה,35.19697781800005,31.76322906100006
5556,בית חולים מאיר,מיון אאג,7/3/2020,11:00-13:30,מיקום חולה,34.89548680000007,32.182323100000076
5313,"בית כנסת ""בית מנחם צעירים"" ברח' זכריה מדר 28 רחובות ",עזרת נשים,7/3/2020,11:00-12:00,מיקום חולה,34.81887472100004,31.89011535500003
5418,"מכון הכושר Metro, רחוב עליית הנוער 27 פינת התעש 1, גבעתיים",שיעור STAPE SHAPE,7/3/2020,11:30-12:30,מיקום חולה,34.801753000000076,32.074869000000035
5389,"מסעדת ""אלבי"", רחוב עולי ציון 6, תל אביב",,7/3/2020,12:00-17:00,מיקום חולה,34.75589400000007,32.05372200000005
5382,"סופר-פארם, קניון איילון",,7/3/2020,12:30-13:30,מיקום חולה,34.826940000000036,32.10096000000004
5384,"סופר-פארם, קניון איילון",,7/3/2020,12:30-13:30,מיקום חולה,34.826940000000036,32.10096000000004
5314,גן משחקים - גן הרפתקאות ברחובות,,7/3/2020,12:30-13:30,מיקום חולה,34.81741960100004,31.888032114000055
5284,"בית הכנסת ברחוב מקור חיים 42 ,ירושלים.",בין השעות 12:50-13:20 וכן 18:00-18:30 ,7/3/2020,12:50-18:30,מיקום חולה,35.21109005900007,31.753696455000068
5251,מסעדת ג'פניקה ברחוב צבי תדמור 12 בחולון,,7/3/2020,13:00-14:00,מיקום חולה,34.777206000000035,32.01379300000008
5322,"לובי של מלון דן פנורמה בת""א",,7/3/2020,13:00-14:00,מיקום חולה,34.763180000000034,32.06474000000003
5359,"בית כנסת יוסף חכם בנוה מונסון, עזרת נשים",,7/3/2020,15:45-16:30,מיקום חולה,34.871593000000075,32.02961800000003
5294,בית הכנסת רבי יוסף חיים בנווה מונוסון,עזרת נשים,7/3/2020,15:45-16:30,מיקום חולה,34.86708046600006,32.02810005400005
5356,בית כנסת יוסף חיים בנווה מונסון,,7/3/2020,16:00-17:00,מיקום חולה,34.867070796000064,32.02810811300003
5557,"קיר טיפוס iclimb כפר סבא, מתחם בולדרלנד, רחוב התעשיה 16",,7/3/2020,16:00-17:30,מיקום חולה,34.92780800000003,32.17477700000006
5268,"רחוב דקל 1, מעלה אדומים ","בית כנסת ""אהבת ישראל""",7/3/2020,16:30-17:00,מיקום חולה,35.29875260000006,31.76544400000006
5558,"""קפה המדרחוב"" כפר סבא",,7/3/2020,17:45-18:30,מיקום חולה,34.906220000000076,32.178666700000065
5620,"בית הכנסת ""אור החיים"" ברחוב רבי עקיבא 134, בני ברק",,7/3/2020,18:00-20:00,מיקום חולה,34.83628422500004,32.08556140200005
5643,"בית הכנסת ""אור החיים"" ברחוב רבי עקיבא 134, בני ברק",,7/3/2020,18:00-20:00,מיקום חולה,34.83628422500004,32.08556140200005
5305,"מסעדת מלון בראשית, דרך בראשית 1, מצפה רמון",,7/3/2020,18:30-21:00,מיקום חולה,34.807718400000056,30.61139890000004
5274,"שירותי הסעה לחניון טווח ארוך, נתבג",,7/3/2020,18:30-18:45,נסיעת אוטובוס,34.89069280000007,31.988868900000057
5464,"בית הכנסת ""דרכי אבותינו""",התפלל ערבית במניין השני,7/3/2020,18:30-18:45,מיקום חולה,34.99686920000005,31.71118750000005
5323,מסעדת MANTARAY,,7/3/2020,19:00-21:00,מיקום חולה,34.760020000000054,32.06107000000003
5315,קניון רחובות רח' בילו 2, חנות קרולין למקה ( 19:10-19:20); חנות טורקיז (19:25-20:00) ,7/3/2020,19:00-20:20,מיקום חולה,34.80682420000005,31.893306800000065
5253,"מוקד רפואי אלעד, רחוב רבי עקיבא",,7/3/2020,19:30-20:00,מיקום חולה,34.95360380000005,32.04923080000003
5573,"קניון ויצמן, רחוב ויצמן 14, תל אביב",,7/3/2020,20:00-21:00,מיקום חולה,34.78970699300004,32.08123494000006
5661,"מוקד ""טרם"" יבנה, רחוב דואני",,7/3/2020,20:30-22:00,מיקום חולה,34.744943300000045,31.86909450000007
5485,עירוני ג' של בני עקיבא במודיעין,ארוע באולם ספורט,7/3/2020,20:30-21:30,מיקום חולה,34.996800000000064,31.911520000000053
5349,"סופר פארם בשערי העיר, צפת.",,7/3/2020,21:00-21:30,מיקום חולה,35.504770000000065,32.971880000000056
5429,"בית קפה ""איזי"" ברח' ארלוזורוב 76, תל אביב",,7/3/2020,21:00-23:59,מיקום חולה,34.779175000000066,32.08581000000004
5698,"""פוקס הום"" בקניון ""רמי לוי"" מבשרת ציון",,7/3/2020,21:30-22:00,מיקום חולה,35.146470442000066,31.796696239000028
5692,"""פוקס הום"" בקניון ""רמי לוי"" מבשרת ציון",,7/3/2020,21:30-22:00,מיקום חולה,35.146470442000066,31.796696239000028
5427,קניון רמי לוי במבשרת ציון,"גלידה ""לה גופרה""",8/3/2020,22:00-23:00,מיקום חולה,35.14648600000004,31.79666000000003
5444,"שאטו שועל, מלכי ישראל 19, תל אביב",,8/3/2020,22:00-23:00,מיקום חולה,34.77975155100006,32.08136135700005
5408,"דיור מוגן ""מגדל נופים"" רחוב הנריטה סאלד 2 ירושלים",,8/3/2020,00:00-23:59,מיקום חולה,35.17127000000005,31.762360000000054
5718,"קופ""ח כללית רחוב הפלמ""ח 17 רחובות",קומה א',8/3/2020,08:30-09:15,מיקום חולה,34.82260800000006,31.89543400000008
5730,"סופרמרקט ""ויקטורי"", רחוב הארבעה 6 תל אביב", ,8/3/2020,21:00-21:45,מיקום חולה,34.78317160000006,32.07035250000007
5738,"מועדון נוער ""אור ישראלי"" מגדל העמק", ,8/3/2020,16:00-20:00,מיקום חולה,35.238785509000024,32.67711977300007
5749,"בית הספר ""דרכי שרה"" רחוב בית הדפוס ירושלים", ,8/3/2020,08:00-14:00,מיקום חולה,35.18836900000008,31.785811400000057
5750,"הופעה באודיטוריום ""נווה ירושלים"" רחוב בית יצחק 1 ירושלים", ,8/3/2020,18:00-23:00,מיקום חולה,35.17594420000006,31.78918680000004
5755,"בית הספר ""דרכי שרה"" רחוב בית הדפוס ירושלים", ,8/3/2020,08:00-14:00,מיקום חולה,35.18836900000008,31.785811400000057
5756,"הופעה באודיטוריום ""נווה ירושלים"" רחוב בית יצחק 1 ירושלים", ,8/3/2020,18:00-23:00,מיקום חולה,35.17594420000006,31.78918680000004
5760,"תלמוד תורה ""דיברות משה"" רחוב קצנלבוגן 83 ירושלים", ,8/3/2020,08:00-15:00,מיקום חולה,35.17632260000005,31.78804230000003
5735,ישיבה מתיבתא מגדל העמק, ,8/3/2020,08:00-15:00,מיקום חולה,35.231497965000074,32.67764764900005
5736,"מועדון נוער ""אור ישראלי"" מגדל העמק", ,8/3/2020,16:00-20:00,מיקום חולה,35.238785509000024,32.67711977300007
5786,"מכון ,IVF בי""ח אלישע, חיפה", ,8/3/2020,08:00-12:00,0,34.992402800000036,32.800891500000034
5819,"קופ""ח לאומית לילינבלום נתניה",בית מרקחת ומזכירות,8/3/2020,11:00-11:30,0,34.859202011000036,32.32519532200007
5820,תחנה מרכזית נתניה, ,8/3/2020,16:00-18:30,0,34.85874200000006,32.32688900000005
5830,מושב אורה אולם ויז'ין,חתונה במושב אורה באולם ויז'ין,8/3/2020,19:00-00:00,0,35.15291080000003,31.75344010000003
5839,"מעון ""ניצנים"" ענב", ,8/3/2020,15:50-16:00,0,35.12588008400007,32.284163345000024
5840,"גן שעשועים, בחוץ, ענב", ,8/3/2020,16:35-17:30,0,35.126154676000056,32.28488901900005
5845,"סופר מרקט ""מרכז רימונים"", רחוב אהרונוביץ' 10, בני ברק", ,8/3/2020,15:00-19:00,0,34.83893120000005,32.09080130000007
5881,בית חולים וולפסון,כל מי שביקר במחלקה פנימית ד' או במחלקת רגל סכרתית,8/3/2020,00:00-23:59,0,34.76270740000007,32.03603090000007
5897,דיזי פרישדון רח' דיזינגוף 121 תל אביב, ,8/3/2020,17:00-20:00,0,34.77372810000003,32.08112120000004
5919, בית הספר עמית דביר רח' עליית הנוער 2 בבית שמש,שוק פורים,8/3/2020,09:00-12:45,0,34.99144133500005,31.74775462900004
5920,בית הכנסת המרכזי בשכונת תמר באפרת, ,8/3/2020,20:30-21:30,0,35.16417000000007,31.68029000000007
5910,גן גפן ב' עפולה, ,8/3/2020,08:00-08:30,0,35.333757200000036,32.63481570000005
5911,מסעדת יאמיז עפולה, ,8/3/2020,10:00-11:30,0,35.291820200000075,32.609309300000064
5941,"מלון דן תל אביב, רחוב הירקון 99 תל אביב",ארוחת בוקר,8/3/2020,08:00-08:30,0,34.76787290000004,32.079589500000054
5943,"קפה נאמן, רחוב היהודים 128 ירושלים", ,8/3/2020,12:00-12:30,0,35.23096750000008,31.774756500000024
5944,"מסעדה לבנונית, כביש השלום 86, אבו גוש", ,8/3/2020,16:00-17:00,0,35.12146370000005,31.80114290000006
5945,המרכז הימי קיסריה,ריקודי עם אצל המרקיד ירון כרמל,8/3/2020,21:30-23:30,0,34.89315000000005,32.49261300000006
5966,בית כנסת ויזניץ רחב זית 1 עפולה, ,8/3/2020,21:30-00:30,0,35.33270773800007,32.63461538900003
5988,סופר מגה בעיר מנחם בגין 44 כפר יונה, ,8/3/2020,09:20-09:44,0,34.93653420000004,32.311227200000076
6001,אודיטוריום מרכז כנסים וואהל אוניברסיטת בר אילן רמת גן,מקס ואנה ווב,8/3/2020,20:00-21:30,0,34.84670100000005,32.07151700000003
5982,"קופת חולים מכבי, רח' תלתן 8 מודיעין.",מכבי דנט,8/3/2020,11:00-11:15,0,35.00757710000005,31.90553010000008
6012,מחלקה פנימית ד' בבית החולים וולפסון,ביקור בן משפחה,8/3/2020,12:00-20:00,0,34.76270740000007,32.03603090000007
6017,"בי""ס בני עקיבא נתיבות חיים בפסגת זאב, ירושלים", ,8/3/2020,08:00-16:00,0,35.23953669900004,31.82959403500007
6067,"הירקון 99, תל אביב", ,8/3/2020,08:00-08:30,0,34.76785380000007,32.07957650000003
6068,"היהודים 128, ירושלים", ,8/3/2020,12:00-12:30,0,35.231000900000026,31.774986700000056
6069,"כביש השלום 86, אבו גוש", ,8/3/2020,16:00-17:00,0,35.12145786000008,31.801095815000053
5955,"אולם ויז'ין, מושב אורה",חתונה,8/3/2020,19:00-23:59,0,35.15291080000003,31.75344010000003
5526,"מועדון ""כולי עלמא"" רח' מקווה ישראל 10, ת""א",,8/3/2020,00:30-03:00,מיקום חולה,34.77488550000004,32.06222020000007
5278,"שאטל לחניון טווח ארוך בנתב""ג.",,8/3/2020,01:00-02:00,מיקום חולה,34.89026063400007,31.98897210800004
5486,בית כנסת החושן במודיעין,,8/3/2020,05:30-06:00,מיקום חולה,34.99476000000004,31.903590000000065
5644,"בית הכנסת ""נחום"" ברחוב השומר פינת היום, בני ברק",,8/3/2020,06:15-08:15,מיקום חולה,34.839420000000075,32.084520000000055
5621,"בית הכנסת ""נחום"" ברחוב השומר פינת היום, בני ברק",,8/3/2020,06:15-08:15,מיקום חולה,34.839420000000075,32.084520000000055
5411,"""נופי ירושלים"" רחוב שחראי 24 ירושלים",מחלקה סיעודית,8/3/2020,07:00-15:00,מיקום חולה,35.186870000000056,31.767540000000057
5350,"מעון יום של חבד של נורית קרומבי, צפת",,8/3/2020,07:30-16:00,מיקום חולה,35.50559000000004,32.96380000000005
5256,עינב,מעון ילדים,8/3/2020,07:30-15:30,מיקום חולה,35.12519800000007,32.28359400000005
5512,יישוב ענב,,8/3/2020,07:30-15:30,מיקום חולה,35.12733110000005,32.285430000000076
5306,"מלון בראשית, דרך בראשית 1, מצפה רמון",ארוחת בוקר,8/3/2020,08:00-10:00,מיקום חולה,34.807718400000056,30.61139890000004
5472,בית כנסת לוי יצחק צפת,תפילת שחרית,8/3/2020,08:00-10:00,מיקום חולה,35.50498600000003,32.96440400000006
5401,"בית הספר ""דביר"" בישוב עתניאל",,8/3/2020,08:00-13:30,מיקום חולה,35.02693400000004,31.43678400000005
5699,"בית הספר ""דרכי שרה"" רחוב בית הדפוס ירושלים",,8/3/2020,08:00-14:00,מיקום חולה,35.18836900000008,31.785811400000057
5693,"בית הספר ""דרכי שרה"" רחוב בית הדפוס ירושלים",,8/3/2020,08:00-14:00,מיקום חולה,35.18836900000008,31.785811400000057
5679,ישיבה מתיבתא מגדל העמק,,8/3/2020,08:00-15:00,מיקום חולה,35.230038843000045,32.68106118500003
5704,"תלמוד תורה ""דיברות משה"" רחוב קצנלבוגן 83 ירושלים",,8/3/2020,08:00-15:00,מיקום חולה,35.17632260000005,31.78804230000003
